swell_info,time,wind_direction,wind_speed,wind_state
"[{""period"":10,""angle"":223.0,""letters"":""NE"",""height"":1.6},{""period"":17,""angle"":-0.0,""letters"":""S"",""height"":0.1},null,{""period"":6,""angle"":342.0,""letters"":""SSE"",""height"":1.9}]",Sunday 23 2PM,SSE,20.0,cross
"[{""period"":10,""angle"":222.0,""letters"":""NE"",""height"":1.5},{""period"":16,""angle"":-0.0,""letters"":""S"",""height"":0.1},null,{""period"":6,""angle"":335.0,""letters"":""SSE"",""height"":1.9}]",Sunday 23 5PM,SSE,20.0,cross
"[{""period"":9,""angle"":219.0,""letters"":""NE"",""height"":1.3},{""period"":16,""angle"":315.0,""letters"":""SE"",""height"":0.1},null,{""period"":7,""angle"":330.0,""letters"":""SSE"",""height"":2.0}]",Sunday 23 8PM,SSE,20.0,cross-on
"[{""period"":9,""angle"":214.0,""letters"":""NE"",""height"":1.1},{""period"":16,""angle"":315.0,""letters"":""SE"",""height"":0.1},null,{""period"":7,""angle"":323.0,""letters"":""SE"",""height"":2.0}]",Sunday 23 11PM,SSE,20.0,cross-on
"[{""period"":9,""angle"":212.0,""letters"":""NNE"",""height"":0.9},{""period"":15,""angle"":315.0,""letters"":""SE"",""height"":0.1},{""period"":15,""angle"":180.0,""letters"":""N"",""height"":0.1},{""period"":7,""angle"":317.0,""letters"":""SE"",""height"":2.1}]",Monday 24 2AM,SSE,20.0,cross-on
"[{""period"":9,""angle"":216.0,""letters"":""NE"",""height"":0.9},{""period"":14,""angle"":315.0,""letters"":""SE"",""height"":0.1},{""period"":15,""angle"":270.0,""letters"":""E"",""height"":0.1},{""period"":7,""angle"":315.0,""letters"":""SE"",""height"":2.3}]",Monday 24 5AM,SE,20.0,cross-on
"[{""period"":9,""angle"":214.0,""letters"":""NE"",""height"":0.7},{""period"":14,""angle"":315.0,""letters"":""SE"",""height"":0.1},{""period"":15,""angle"":270.0,""letters"":""E"",""height"":0.1},{""period"":8,""angle"":308.0,""letters"":""SE"",""height"":2.4}]",Monday 24 8AM,SE,20.0,cross-on
"[{""period"":9,""angle"":219.0,""letters"":""NE"",""height"":0.6},{""period"":14,""angle"":-0.0,""letters"":""S"",""height"":0.1},{""period"":14,""angle"":225.0,""letters"":""NE"",""height"":0.1},{""period"":8,""angle"":304.0,""letters"":""SE"",""height"":2.5}]",Monday 24 11AM,SE,25.0,cross-on
"[{""period"":8,""angle"":219.0,""letters"":""NE"",""height"":0.6},null,{""period"":14,""angle"":180.0,""letters"":""N"",""height"":0.1},{""period"":8,""angle"":301.0,""letters"":""ESE"",""height"":2.5}]",Monday 24 2PM,SE,20.0,cross-on
"[{""period"":8,""angle"":219.0,""letters"":""NE"",""height"":0.6},{""period"":14,""angle"":27.0,""letters"":""SSW"",""height"":-0.2},null,{""period"":9,""angle"":298.0,""letters"":""ESE"",""height"":2.5}]",Monday 24 5PM,SE,15.0,cross-on
